ocupacion_observatorio,ocupacion_cuoc_match_1,score_1,ocupacion_cuoc_match_2,score_2,confianza,requiere_revision
Auxiliares De Protocolo Y Servicios Funerarios,AUXILIAR EN SERVICIOS FUNERARIOS,0.969,AUXILIAR DE SERVICIOS FINANCIEROS,0.809,ALTA,False
5211,ANIMADOR 2D / ANIMADORA 2D,0.069,TÉCNICO EN DIBUJO 2D / TÉCNICA EN DIBUJO 2D,0.043,BAJA,True
2224,ANIMADOR 2D / ANIMADORA 2D,0.138,TÉCNICO EN DIBUJO 2D / TÉCNICA EN DIBUJO 2D,0.087,BAJA,True
8393,ANIMADOR 3D / ANIMADORA 3D,0.138,DISEÑADOR 3D / DISEÑADORA 3D,0.129,BAJA,True
Urbanistas y planificadores del uso del suelo,URBANISTA PLANIFICADOR DEL USO DEL SUELO / URBANISTA PLANIFICADORA DEL USO DEL SUELO,0.825,PLANIFICADOR DE MUSEOS / PLANIFICADORA DE MUSEOS,0.587,ALTA,False
8443,MONTAJISTA 360,0.111,ANIMADOR 3D / ANIMADORA 3D,0.069,BAJA,True
Modelistas y matriceros,MODELISTA DE MARROQUINERÍA,0.694,SUPERVISOR DE MODELISTAS Y MATRICEROS / SUPERVISORA DE MODELISTAS Y MATRICEROS,0.66,MEDIA,False
"Inspectores de Control de Calidad, Procesamiento de la Madera",INSPECTOR DE CONTROL DE CALIDAD DE PROCESAMIENTO DE VIDRIO / INSPECTORA DE CONTROL DE CALIDAD DE PROCESAMIENTO DE VIDRIO,0.926,INSPECTOR DE CONTROL DE CALIDAD / INSPECTORA DE CONTROL DE CALIDAD,0.904,ALTA,False
Instrumentadores Quirúrgicos,INSTRUMENTADOR QUIRÚRGICO / INSTRUMENTADORA QUIRÚRGICA,0.642,INSTRUMENTISTA MÚSICO,0.612,MEDIA,False
Rayadores de Caucho,RAYADOR DE CAUCHO / RAYADORA DE CAUCHO,0.707,AYUDANTE DE ARCHIVO,0.632,ALTA,False
Supervisores de fabricación de otros productos mecánicos y metálicos,SUPERVISOR DE FABRICACIÓN DE PRODUCTOS MECÁNICOS Y METÁLICOS / SUPERVISORA DE FABRICACIÓN DE PRODUCTOS MECÁNICOS Y METÁLICOS,1.028,SUPERVISOR DE FABRICACIÓN DE PRODUCTOS MECÁNICOS / SUPERVISORA DE FABRICACIÓN DE PRODUCTOS MECÁNICOS,0.983,ALTA,False
Operadores de Máquinas para la Fabricación de Otros Productos Metálicos (n.c.a),SUPERVISOR DE FABRICACIÓN DE PRODUCTOS METÁLICOS / SUPERVISORA DE FABRICACIÓN DE PRODUCTOS METÁLICOS,0.829,OPERADOR DE MÁQUINA PARA LA FABRICACIÓN DE PRODUCTOS DE PAPEL / OPERADORA DE MÁQUINA PARA LA FABRICACIÓN DE PRODUCTOS DE PAPEL,0.79,ALTA,False
Revisada: 01/08/2019,ARTISTA DE RUEDA CYR,0.378,ARTISTA CUERDA FLOJA,0.378,BAJA,True
1131,MONTAJISTA 360,0.111,ANIMADOR 3D / ANIMADORA 3D,0.069,BAJA,True
Operadores de Máquinas para Procesamiento de la Madera,AYUDANTE DE PROCESAMIENTO DE MADERA,0.829,OPERADOR DE MÁQUINA DE PROCESAMIENTO DE MADERA / OPERADORA DE MÁQUINA DE PROCESAMIENTO DE MADERA,0.817,ALTA,False
2314,MONTAJISTA 360,0.111,ANIMADOR 3D / ANIMADORA 3D,0.069,BAJA,True
Técnicos de Mantenimiento y Servicio de Televisión por Cable,TÉCNICO DE MANTENIMIENTO DE TELEVISIÓN POR CABLE / TÉCNICA DE MANTENIMIENTO DE TELEVISIÓN POR CABLE,1.008,TÉCNICO DE SERVICIO DE TELEVISIÓN POR CABLE / TÉCNICA DE SERVICIO DE TELEVISIÓN POR CABLE,0.981,ALTA,False
1362,MONTAJISTA 360,0.222,OPERADOR DE CÁMARA 360 / OPERADORA DE CÁMARA 360,0.078,BAJA,True
Ingenieros Electricistas,ELECTRICISTA,0.667,AYUDANTE ELECTRICISTA,0.667,MEDIA,False
9335,ANIMADOR 3D / ANIMADORA 3D,0.138,DISEÑADOR 3D / DISEÑADORA 3D,0.129,BAJA,True
"Chapistas, caldereros y paileros",CHAPISTA CALDERERO / CHAPISTA CALDERERA,0.696,SUPERVISOR DE CALDEREROS / SUPERVISORA DE CALDEREROS,0.661,MEDIA,False
Auxiliares de almacén,AUXILIAR DE ALMACÉN,1.05,AUXILIAR DE EMPAQUE DE ALMACÉN,0.884,ALTA,False
2262,ANIMADOR 2D / ANIMADORA 2D,0.138,MONTAJISTA 360,0.111,BAJA,True
Instructores y Profesores de Personas Discapacitadas,INSTRUCTOR DE PERSONAS DISCAPACITADAS / INSTRUCTORA DE PERSONAS DISCAPACITADAS,0.774,INTÉRPRETE PARA PERSONAS SORDAS,0.654,ALTA,False
Operadores de Máquinas para Coser,OPERADOR DE MÁQUINAS PARA COSER Y BORDAR / OPERADORA DE MÁQUINAS PARA COSER Y BORDAR,0.734,REPARADOR DE MÁQUINAS DE COSER / REPARADORA DE MÁQUINAS DE COSER,0.721,ALTA,False
Dibujantes técnicos,DIBUJANTE DE MECÁNICA,0.7,DIBUJANTE CARICATURISTA,0.667,MEDIA,False
Ingenieros Químicos,AYUDANTE EN PROCESOS QUÍMICOS,0.725,INGENIERO QUÍMICO / INGENIERA QUÍMICA,0.618,ALTA,False
8331,ANIMADOR 3D / ANIMADORA 3D,0.138,DISEÑADOR 3D / DISEÑADORA 3D,0.129,BAJA,True
7337,ANIMADOR 3D / ANIMADORA 3D,0.138,DISEÑADOR 3D / DISEÑADORA 3D,0.129,BAJA,True
Asistentes Contables,ASISTENTE CONTABLE / ASISTENTA CONTABLE,0.655,CANTANTE CONTRALTO,0.632,MEDIA,False
0643,MONTAJISTA 360,0.111,OPERADOR DE CÁMARA 360 / OPERADORA DE CÁMARA 360,0.078,BAJA,True
Gerentes financieros,AGENTE DE FUTUROS FINANCIEROS,0.835,AUXILIAR DE SERVICIOS FINANCIEROS,0.666,ALTA,False
9217,ANIMADOR 2D / ANIMADORA 2D,0.069,TÉCNICO EN DIBUJO 2D / TÉCNICA EN DIBUJO 2D,0.043,BAJA,True
Gerentes de Otros Servicios Administrativos,GERENTE DE OTROS SERVICIOS ADMINISTRATIVOS / GERENTA DE OTROS SERVICIOS ADMINISTRATIVOS,0.951,GERENTE DE SERVICIOS ADMINISTRATIVOS / GERENTA DE SERVICIOS ADMINISTRATIVOS,0.815,ALTA,False
Personal directivo de la administración pública,PERSONAL DIRECTIVO DE LA ADMINISTRACIÓN PÚBLICA,1.4,PROFESIONAL EN POLÍTICAS DE ADMINISTRACIÓN,0.752,ALTA,False
4161,MONTAJISTA 360,0.111,OPERADOR DE CÁMARA 360 / OPERADORA DE CÁMARA 360,0.039,BAJA,True
7342,MONTAJISTA 360,0.111,ANIMADOR 3D / ANIMADORA 3D,0.069,BAJA,True
Perforadores y Operarios de Voladura para Minería de Superficie de Canteras y Construcción,PERFORADOR OPERARIO DE VOLADURA EN MINERÍA DE SUPERFICIE CANTERAS Y CONSTRUCCIÓN / PERFORADORA OPERARIA DE VOLADURA EN MINERÍA DE SUPERFICIE CANTERAS Y CONSTRUCCIÓN,1.117,SUPERVISOR DE VOLADURA Y MINERÍA / SUPERVISORA DE VOLADURA Y MINERÍA,0.786,ALTA,False
Inspectores de Vehículos de Motor,ELECTRICISTA DE VEHÍCULOS DE MOTOR,1.006,INSPECTOR DE VEHÍCULOS / INSPECTORA DE VEHÍCULOS,0.775,ALTA,False
Empleados de Lavandería,AUXILIAR DE LAVANDERÍA,0.811,PRENSISTA DE LAVANDERÍA,0.796,ALTA,False
6324,MONTAJISTA 360,0.111,OPERADOR DE CÁMARA 360 / OPERADORA DE CÁMARA 360,0.078,BAJA,True
Jefes y supervisores de entidades financieras,SUPERVISOR DE ENTIDADES FINANCIERAS / SUPERVISORA DE ENTIDADES FINANCIERAS,0.793,JEFE DE ENTIDADES FINANCIERAS / JEFA DE ENTIDADES FINANCIERAS,0.752,ALTA,False
9221,ANIMADOR 2D / ANIMADORA 2D,0.138,TÉCNICO EN DIBUJO 2D / TÉCNICA EN DIBUJO 2D,0.087,BAJA,True
Técnicos Ópticos,PIROTÉCNICO / PIROTÉCNICA,0.6,TÉCNICO HD / TÉCNICA HD,0.579,MEDIA,False
Supervisores de Personal de Manejo Doméstico,SUPERVISOR DE PERSONAL DE MANEJO DOMÉSTICO EN CLUBES / SUPERVISORA DE PERSONAL DE MANEJO DOMÉSTICO EN CLUBES,0.856,SUPERVISOR DE PERSONAL DE ASEO / SUPERVISORA DE PERSONAL DE ASEO,0.736,ALTA,False
Aseadores y Servicio Doméstico,AUXILIAR DE CORREOS Y SERVICIO POSTAL,0.727,EMPLEADO DE SERVICIO DOMÉSTICO / EMPLEADA DE SERVICIO DOMÉSTICO,0.722,ALTA,False
4162,MONTAJISTA 360,0.111,ANIMADOR 2D / ANIMADORA 2D,0.069,BAJA,True
Operarios de riego agrícola,OPERARIO DE RIEGO AGRÍCOLA / OPERARIA DE RIEGO AGRÍCOLA,0.842,OPERARIO DE RIEGO / OPERARIA DE RIEGO,0.767,ALTA,False
Agentes de Policía,AGENTE DE POLICÍA,1.071,AGENTE DE POLICÍA VIAL,0.95,ALTA,False
Operarios de Cargue y Descargue de Materiales,AUXILIAR DE CARGUE Y DESCARGUE DE MATERIALES,1.154,OPERARIO DE CARGUE Y DESCARGUE / OPERARIA DE CARGUE Y DESCARGUE,0.91,ALTA,False
Diseñadores Gráficos,DIBUJANTE DE ARTES GRÁFICAS,0.638,DISEÑADOR GRÁFICO / DISEÑADORA GRÁFICA,0.632,MEDIA,False
Asistentes legales y afines,ASISTENTE LEGAL / ASISTENTA LEGAL,0.712,AGENTE DE VALORES Y ACCIONES,0.691,ALTA,False
Auxiliares de educación para la primera infancia,AUXILIAR DE EDUCACIÓN PARA LA PRIMERA INFANCIA,1.279,AUXILIAR EN PRIMERA INFANCIA,0.937,ALTA,False
1212,ANIMADOR 2D / ANIMADORA 2D,0.138,TÉCNICO EN DIBUJO 2D / TÉCNICA EN DIBUJO 2D,0.087,BAJA,True
Otros Artesanos nca,ARTESANO CERERO / ARTESANA CERERA,0.549,ARTESANO DE OTROS MATERIALES / ARTESANA DE OTROS MATERIALES,0.542,MEDIA,True
"Operadores de Máquinas, Tratamiento de Metales y Minerales",AYUDANTE DE TRATAMIENTO DE METALES Y MINERALES,1.057,AYUDANTE DE HORNO DE TRATAMIENTO DE METALES Y MINERALES,1.032,ALTA,False
Oficiales de máquinas,OFICIAL DE MÁQUINAS,1.05,OFICIAL DE ADUANA,0.737,ALTA,False
Ensambladores de Vehículos Automotores,ENSAMBLADOR DE VEHÍCULOS AUTOMOTORES / ENSAMBLADORA DE VEHÍCULOS AUTOMOTORES,0.837,ELECTRICISTA DE VEHÍCULOS DE MOTOR,0.711,ALTA,False
Supervisores de Empleados de Seguros y Finanzas,SUPERVISOR DE PERSONAL DE SEGUROS Y FINANZAS / SUPERVISORA DE PERSONAL DE SEGUROS Y FINANZAS,0.751,SUPERVISOR DE EMPLEADOS DE BANCA / SUPERVISORA DE EMPLEADOS DE BANCA,0.749,ALTA,False
Ocupaciones Religiosas,RELIGIOSO / RELIGIOSA,0.619,ANALISTA DE OCUPACIONES,0.589,MEDIA,False
"Contratistas y Supervisores, Instalación de Tuberías",SUPERVISOR DE INSTALACIÓN DE TUBERÍAS / SUPERVISORA DE INSTALACIÓN DE TUBERÍAS,0.747,INSPECTOR DE INSTALACIÓN DE TUBERÍAS / INSPECTORA DE INSTALACIÓN DE TUBERÍAS,0.692,ALTA,False
Operadores de máquinas y trabajadores relacionados con la fabricación de calzado y marroquinería,OPERADOR DE MÁQUINA DE FABRICACIÓN DE CALZADO / OPERADORA DE MÁQUINA DE FABRICACIÓN DE CALZADO,0.782,OPERADOR DE MÁQUINA DESBASTADORA PARA LA FABRICACIÓN DE CALZADO / OPERADORA DE MÁQUINA DESBASTADORA PARA LA FABRICACIÓN DE CALZADO,0.778,ALTA,False
2144,ANIMADOR 2D / ANIMADORA 2D,0.069,TÉCNICO EN DIBUJO 2D / TÉCNICA EN DIBUJO 2D,0.043,BAJA,True
Ensambladores e inspectores de ensamble de aeronaves,INSPECTOR DE ENSAMBLE DE AERONAVES / INSPECTORA DE ENSAMBLE DE AERONAVES,0.753,ENSAMBLADOR DE INTERRUPTORES / ENSAMBLADORA DE INTERRUPTORES,0.721,ALTA,False
"Supervisores de Fabricación de Productos de Tela, Cuero y Piel","SUPERVISOR DE FABRICACIÓN DE PRODUCTOS DE TELA, CUERO Y PIEL / SUPERVISORA DE FABRICACIÓN DE PRODUCTOS DE TELA, CUERO Y PIEL",1.148,SUPERVISOR DE CORTE DE PRODUCTOS DE TELA PIEL Y CUERO / SUPERVISORA DE CORTE DE PRODUCTOS DE TELA PIEL Y CUERO,0.965,ALTA,False
3214,MONTAJISTA 360,0.111,ANIMADOR 3D / ANIMADORA 3D,0.069,BAJA,True
"Otras Ocupaciones Técnicas en Cine, Televisión y Artes Escénicas nca","ASISTENTE TÉCNICO DE CINE, TELEVISIÓN Y ARTES ESCÉNICAS / ASISTENTA TÉCNICA DE CINE, TELEVISIÓN Y ARTES ESCÉNICAS",0.988,"ASISTENTE DE CINE, TELEVISIÓN Y ARTES ESCÉNICAS / ASISTENTA DE CINE, TELEVISIÓN Y ARTES ESCÉNICAS",0.959,ALTA,False
6241,MONTAJISTA 360,0.111,ANIMADOR 2D / ANIMADORA 2D,0.069,BAJA,True
Técnicos en geología y minería,TÉCNICO EN GEOLOGÍA Y MINERÍA / TÉCNICA EN GEOLOGÍA Y MINERÍA,0.844,TÉCNICO DE GEOLOGÍA / TÉCNICA DE GEOLOGÍA,0.786,ALTA,False
8341,MONTAJISTA 360,0.111,ANIMADOR 3D / ANIMADORA 3D,0.069,BAJA,True
Conductores de Transporte de Alimentos,AYUDANTE DE TRANSPORTE DE MINERALES,0.785,CONDUCTOR DE TRANSPORTE LIVIANO DE ALIMENTOS / CONDUCTORA DE TRANSPORTE LIVIANO DE ALIMENTOS,0.758,ALTA,False
"Supervisores, Procesamiento de la Madera y Producción de Pulpa y Papel",OBRERO Y AYUDANTE EN EL PROCESAMIENTO DE LA MADERA Y PRODUCCIÓN DE PULPA Y PAPEL / OBRERA Y AYUDANTA EN EL PROCESAMIENTO DE LA MADERA Y PRODUCCIÓN DE PULPA Y PAPEL,1.028,SUPERVISOR DE PROCESAMIENTO DE PULPA / SUPERVISORA DE PROCESAMIENTO DE PULPA,0.922,ALTA,False
"Evaluadores, ajustadores, analistas y liquidadores de seguros",LIQUIDADOR DE SEGUROS / LIQUIDADORA DE SEGUROS,0.696,REPRESENTANTE DE VENTAS DE SEGUROS,0.616,MEDIA,False
"Gerentes de Biblioteca, Museo y Galería de Arte",GERENTE DE BIBLIOTECA / GERENTA DE BIBLIOTECA,0.833,GUÍA DE GALERÍA DE ARTE,0.78,ALTA,False
Ayudantes Electricistas,AYUDANTE ELECTRICISTA,0.955,AYUDANTE DE ELECTRICIDAD,0.809,ALTA,False
Diseñadores de Interiores,DISEÑADOR DE INTERIORES / DISEÑADORA DE INTERIORES,0.722,DECORADOR DE INTERIORES / DECORADORA DE INTERIORES,0.641,ALTA,False
8461,MONTAJISTA 360,0.111,OPERADOR DE CÁMARA 360 / OPERADORA DE CÁMARA 360,0.039,BAJA,True
2214,ANIMADOR 2D / ANIMADORA 2D,0.138,TÉCNICO EN DIBUJO 2D / TÉCNICA EN DIBUJO 2D,0.087,BAJA,True
9353,ANIMADOR 3D / ANIMADORA 3D,0.138,DISEÑADOR 3D / DISEÑADORA 3D,0.129,BAJA,True
Gerentes de Sistemas de Información y Procesamiento de Datos,GERENTE DE SISTEMAS DE INFORMACIÓN Y PROCESAMIENTO DE DATOS / GERENTA DE SISTEMAS DE INFORMACIÓN Y PROCESAMIENTO DE DATOS,1.056,GERENTE DE SISTEMAS DE INFORMACIÓN / GERENTA DE SISTEMAS DE INFORMACIÓN,0.908,ALTA,False
Operadores de máquinas e inspectores de la fabricación de productos y componentes eléctricos,OPERADOR DE MÁQUINA DE FABRICACIÓN DE COMPONENTES ELÉCTRICOS / OPERADORA DE MÁQUINA DE FABRICACIÓN DE COMPONENTES ELÉCTRICOS,0.858,SUPERVISOR DE FABRICACIÓN DE PRODUCTOS ELÉCTRICOS / SUPERVISORA DE FABRICACIÓN DE PRODUCTOS ELÉCTRICOS,0.849,ALTA,False
Operadores de Máquinas para la Producción de Pulpa,OPERADOR DE CONTROL CENTRAL PRODUCCIÓN PULPA / OPERADORA DE CONTROL CENTRAL PRODUCCIÓN PULPA,0.725,OPERADOR DE MÁQUINA DE PRODUCCIÓN DE PULPA DE PAPEL / OPERADORA DE MÁQUINA DE PRODUCCIÓN DE PULPA DE PAPEL,0.716,ALTA,False
1313,ANIMADOR 3D / ANIMADORA 3D,0.138,DISEÑADOR 3D / DISEÑADORA 3D,0.129,BAJA,True
9392,MONTAJISTA 360,0.111,ANIMADOR 3D / ANIMADORA 3D,0.069,BAJA,True
Suboficiales del Cuerpo de Custodia y Vigilancia,SUBOFICIAL DEL CUERPO DE CUSTODIA Y VIGILANCIA,1.279,OFICIAL DEL CUERPO DE CUSTODIA Y VIGILANCIA,1.245,ALTA,False
2273,ANIMADOR 2D / ANIMADORA 2D,0.138,MONTAJISTA 360,0.111,BAJA,True
2264,ANIMADOR 2D / ANIMADORA 2D,0.138,MONTAJISTA 360,0.111,BAJA,True
Ingenieros de Materiales y Metalurgia,INGENIERO DE MATERIALES Y METALURGIA / INGENIERA DE MATERIALES Y METALURGIA,0.849,INGENIERO DE MATERIALES / INGENIERA DE MATERIALES,0.782,ALTA,False
Operarios torres de perforación de hidrocarburos,AUXILIAR DE OPERACIÓN EN HIDROCARBUROS,0.798,OPERADOR DE TORRE DE PERFORACIÓN DE HIDROCARBUROS / OPERADORA DE TORRE DE PERFORACIÓN DE HIDROCARBUROS,0.791,ALTA,False
Ayudantes en la fabricación metálica,AYUDANTE EN FABRICACIÓN METÁLICA,1.141,AYUDANTE DE FABRICACIÓN DE PLÁSTICO,0.861,ALTA,False
Modelos,MODELO,0.923,MODELISTA,0.75,ALTA,False
"Astrólogos, Adivinadores y Relacionados",ASTRÓLOGO ADIVINADOR / ASTRÓLOGA ADIVINADORA,0.691,TECNÓLOGO DE MINAS / TECNÓLOGA DE MINAS,0.553,MEDIA,False
Auxiliares de Enfermería,AUXILIAR EN ENFERMERÍA,0.97,AUXILIAR DE TESORERÍA,0.8,ALTA,False
Vidrieros,VIDRIERO / VIDRIERA,0.593,VIVERISTA,0.556,MEDIA,True
8344,MONTAJISTA 360,0.111,ANIMADOR 3D / ANIMADORA 3D,0.069,BAJA,True
Auxiliares de servicios financieros,AUXILIAR DE SERVICIOS FINANCIEROS,1.171,ANALISTA DE SERVICIOS FINANCIEROS,1.053,ALTA,False
"Gerentes de Banca, Crédito e Inversiones","GERENTE DE BANCA, CRÉDITO E INVERSIONES / GERENTA DE BANCA, CRÉDITO E INVERSIONES",1.05,GERENTE DE CRÉDITO / GERENTA DE CRÉDITO,0.697,ALTA,False
Perforadores de pozos de gas y petróleo y trabajadores relacionados,PERFORADOR SONDISTAS DE POZOS DE GAS Y PETRÓLEO / PERFORADORA SONDISTA DE POZOS DE GAS Y PETRÓLEO,0.926,PERFORADOR DE POZOS DE GAS / PERFORADORA DE POZOS DE GAS,0.905,ALTA,False
"Directores y Gerentes Generales de Producción de Bienes, Servicios Públicos, Transporte y Construcción","GERENTE GENERAL DE PRODUCCIÓN DE BIENES, SERVICIOS PÚBLICOS, TRANSPORTE Y CONSTRUCCIÓN / GERENTA GENERAL DE PRODUCCIÓN DE BIENES, SERVICIOS PÚBLICOS, TRANSPORTE Y CONSTRUCCIÓN",1.222,GERENTE DE OPERACIONES DE SERVICIOS PÚBLICOS / GERENTA DE OPERACIONES DE SERVICIOS PÚBLICOS,0.705,ALTA,False
Auxiliares en salud pública,AUXILIAR EN SALUD PÚBLICA,1.162,ESPECIALISTA EN SALUD PÚBLICA,0.95,ALTA,False
0421,MONTAJISTA 360,0.111,ANIMADOR 2D / ANIMADORA 2D,0.069,BAJA,True
Conductores de Vehículos Pesados,INSPECTOR DE VEHÍCULOS / INSPECTORA DE VEHÍCULOS,0.733,ELECTRICISTA DE VEHÍCULOS DE MOTOR,0.706,ALTA,False
Operadores de Equipo Pesado (excepto grúa),OPERADOR DE EQUIPO PESADO / OPERADORA DE EQUIPO PESADO,0.888,ENSAMBLADOR DE EQUIPO PESADO / ENSAMBLADORA DE EQUIPO PESADO,0.786,ALTA,False
2154,ANIMADOR 2D / ANIMADORA 2D,0.069,TÉCNICO EN DIBUJO 2D / TÉCNICA EN DIBUJO 2D,0.043,BAJA,True
3142,MONTAJISTA 360,0.111,ANIMADOR 3D / ANIMADORA 3D,0.069,BAJA,True
Supervisores de servicios de alojamiento y hospedaje,SUPERVISOR DE SERVICIOS DE ALOJAMIENTO Y HOSPEDAJE / SUPERVISORA DE SERVICIOS DE ALOJAMIENTO Y HOSPEDAJE,0.945,GERENTE DE SERVICIO DE ALOJAMIENTO / GERENTA DE SERVICIO DE ALOJAMIENTO,0.707,ALTA,False
5224,ANIMADOR 2D / ANIMADORA 2D,0.138,TÉCNICO EN DIBUJO 2D / TÉCNICA EN DIBUJO 2D,0.087,BAJA,True
8216,MONTAJISTA 360,0.111,ANIMADOR 2D / ANIMADORA 2D,0.069,BAJA,True
9613,MONTAJISTA 360,0.111,OPERADOR DE CÁMARA 360 / OPERADORA DE CÁMARA 360,0.078,BAJA,True
Suboficiales del cuerpo de custodia y vigilancia,SUBOFICIAL DEL CUERPO DE CUSTODIA Y VIGILANCIA,1.279,OFICIAL DEL CUERPO DE CUSTODIA Y VIGILANCIA,1.245,ALTA,False
0016,MONTAJISTA 360,0.111,OPERADOR DE CÁMARA 360 / OPERADORA DE CÁMARA 360,0.078,BAJA,True
Ocupaciones nivel elemental,TERAPEUTA OCUPACIONAL EN SALUD MENTAL,0.594,ANALISTA DE OCUPACIONES,0.54,MEDIA,True
Otros artesanos nca,ARTESANO CERERO / ARTESANA CERERA,0.549,ARTESANO DE OTROS MATERIALES / ARTESANA DE OTROS MATERIALES,0.542,MEDIA,True
"Inspectores de control de calidad, procesamiento de la madera",INSPECTOR DE CONTROL DE CALIDAD DE PROCESAMIENTO DE VIDRIO / INSPECTORA DE CONTROL DE CALIDAD DE PROCESAMIENTO DE VIDRIO,0.926,INSPECTOR DE CONTROL DE CALIDAD / INSPECTORA DE CONTROL DE CALIDAD,0.904,ALTA,False
Otros Auxiliares de Servicios a la Salud nca,AUXILIAR DE SERVICIOS A VIAJEROS,0.784,AUXILIAR DE SERVICIOS DE VELACIÓN,0.775,ALTA,False
Montadores de Estructuras Metálicas,MONTADOR DE ESTRUCTURAS METÁLICAS / MONTADORA DE ESTRUCTURAS METÁLICAS,0.835,ARMADOR DE ESTRUCTURAS METÁLICAS / ARMADORA DE ESTRUCTURAS METÁLICAS,0.788,ALTA,False
8373,ANIMADOR 3D / ANIMADORA 3D,0.138,DISEÑADOR 3D / DISEÑADORA 3D,0.129,BAJA,True
Acompañantes Domiciliarios,ACOMPAÑANTE DE ANCIANOS,0.735,ACOMPAÑANTE SOCIAL,0.727,ALTA,False
2116,MONTAJISTA 360,0.111,ANIMADOR 2D / ANIMADORA 2D,0.069,BAJA,True
Operadores de audio y sonido,OPERADOR DE AUDIO Y SONIDO / OPERADORA DE AUDIO Y SONIDO,0.827,OPERADOR DE AUDIO / OPERADORA DE AUDIO,0.777,ALTA,False
3222,ANIMADOR 2D / ANIMADORA 2D,0.138,MONTAJISTA 360,0.111,BAJA,True
Operario Acuícola,OPERARIO ACUÍCOLA / OPERARIA ACUÍCOLA,0.842,AYUDANTE ACUÍCOLA,0.688,ALTA,False
Operadores de Pequeñas Embarcaciones,OPERADOR DE PEQUEÑAS EMBARCACIONES / OPERADORA DE PEQUEÑAS EMBARCACIONES,0.836,INTÉRPRETE DE PEQUEÑAS PARTES,0.715,ALTA,False
"Cortadores de Tela, Cuero y Piel","CORTADOR DE TELA, CUERO Y PIEL / CORTADORA DE TELA, CUERO Y PIEL",0.93,"SUPERVISOR DE CORTE DE TELA, PIEL Y CUERO / SUPERVISORA DE CORTE DE TELA, PIEL Y CUERO",0.739,ALTA,False
